# Format: job_id | company | position
# Jobs listed here (by job ID) will not appear in future summaries
# LinkedIn Jobs Exclusion List
4373715602 | Nautilus Biotechnology | Senior Manager, Software Engineering
4373716847 | Meta | Systems Software Engineering Manager
4373757317 | Netflix | Engineering Manager, Core Applications - AI for Member Systems
4373760299 | Netflix | Tech Lead Manager, GenAI Sandbox & Tooling (AI Foundations)
4373879849 | Chewy | Software Development Manager
4374001783 | Google | Senior Software Engineering Manager, AI/ML, Compute Infrastructure
4374063592 | Google | Software Engineering Manager II, Site Reliability Engineering
4374284614 | Oracle | Senior Manager of Software Development
4374325324 | Figma | Manager, Software Engineering - Search & Recommendations
4374450586 | SoFi | Senior Engineering Manager, Builder Tools
4374489315 | Docusign | Director, Software Engineering
4374524806 | OpenAI | Platform Engineering Manager, Forward Deployed Engineering (FDE)
4374543806 | Oracle | Senior Manager, Software Development
4374730679 | Microsoft | Principal Group Engineering Manager
4374737059 | Microsoft | Group Engineering Manager
4374843961 | Oracle | Software Development Snr Manager
4374846378 | Blue Origin | Sr. Manager - Software Engineering
4375152893 | Microsoft | Senior Software Engineering Manager - CTJ - TS/SCI
4375487049 | IonQ | Senior Manager, Compute Infrastructure Engineering
4375496903 | Airbnb | Engineering Manager, Core Foundation
4375852038 | Microsoft | Software Engineer Manager
4375886193 | SoFi | Engineering Manager, Member Growth
4376217173 | Boeing | Senior Manager of Software Development
4376301040 | Microsoft | Software Engineering Manager
4376411620 | NerdWallet | Senior Manager, Software Engineering (Platform Systems)
4376432790 | Apple | Finance Digital Transformation - Engineering Manager
4376433218 | Anthropic | Engineering Manager, UI Platform
4376437592 | Apple | Finance Digital Transformation - Engineering Manager
4376464142 | Visa | Senior Director, Software Engineering
4377077522 | Stripe | Engineering Manager, User Billing
4377416785 | NVIDIA | Senior Manager, Software Security Architecture
4377417812 | NVIDIA | Senior Manager, Software Engineering - Libraries Devops and Infrastructure
4377431218 | NVIDIA | Manager, Next-Generation AI Cluster Architecture
4377432174 | NVIDIA | Senior Manager, GPU and AI Architecture
4377434226 | NVIDIA | Senior Manager, Omniverse DevInfra CI/CD
4377457870 | Airbnb | Engineering Manager, Network Infrastructure (Cloud)
4377471789 | Pinterest | Sr. Director, Engineering - Delivery Infrastructure
4377483686 | NVIDIA | Software Engineering Manager - Image and Data Compression Libraries
4377485663 | NVIDIA | Engineering Manager, Observability Platform
4377489611 | NVIDIA | Senior Manager, Software Monetization
4377491549 | NVIDIA | Senior Manager, Abstraction Layer Engineering – Autonomous Platform
4377492621 | NVIDIA | Senior Manager, Engineering -  Enterprise AI and Automation
4377492623 | NVIDIA | Engineering Manager - OpenBMC Platform
4377555978 | Apple | Software Engineering Manager, Partner & Release Management
4377830873 | Microsoft | Principal Software Engineer Manager - Azure Storage
4377891321 | Microsoft | Group Engineering Manager
4378078725 | NVIDIA | Manager, Software Verification
4378285320 | Anthropic | Engineering Manager, Cloud Security
4378318227 | Amazon Web Services (AWS) | Software Development Manager, Builder Tools Language Experience
4378605110 | Microsoft | Software Engineering Manager
4378662077 | Salesforce | Director/Sr. Director - Software Engineering
4378703366 | DigitalOcean | Sr. Director Engineering, Head of Internal Technology
4378712103 | DigitalOcean | Sr. Director Engineering, Head of Internal Technology
4378714077 | DigitalOcean | Sr. Director Engineering, Head of Internal Technology
4378720638 | Salesforce | Director, Engineering - Agentic Search & AI Components
4378768987 | Microsoft | Principal Software Engineering Manager
4379256305 | Snowflake | Engineering Manager - Feature Store
4379982059 | Pinterest | Manager II, Production Engineering
4380201264 | Oracle | Senior Director, Software Development
4380601894 | Apple | Software Engineering Manager, Apple Services Engineering
4380623641 | Coupang | Director of Engineering - Security Infrastructure
4380819534 | Databricks | Sr. Engineering Manager - Lakeflow Designer
4380822429 | Netflix | Engineering Manager, Cloud Infrastructure Security
4381055617 | Twitch | Senior Software Development Manager, Engage
4381338011 | Docusign | Director, Software Engineering
4382206577 | Superhuman | Senior Engineering Manager, Mobile
4382321774 | Airbnb | Engineering Manager, Trust Platform
4382478678 | Apple | Software Engineering Manager
4382486391 | Apple | Software Engineering Manager
4382641289 | NVIDIA | Technical Program Manager, New Product Readiness
4383025988 | Walmart | Senior Manager, Software Engineering
4383272053 | Vanta | Director of Engineering
4383359492 | Zillow | Senior Technical Program Manager, FUB Engineering
4383471231 | Elastic | Sr. Director, IT - AI Innovation and Services
4383508666 | Roblox | Director of Engineering, Programmability
4383720684 | Microsoft | Principal Software Engineering Manager
4383861311 | Okta | Director, Engineering (Auth0)
4383864116 | Amazon Web Services (AWS) | Director, Software Engineering, Managed Open-Source Streaming
4384111032 | NVIDIA | Senior Manager, Systems Software Engineering - GeForce NOW Cloud
4384166826 | Microsoft | Principal Engineering Manager
4384373491 | Zillow | Senior Engineering Manager
4384377594 | DigitalOcean | Sr. Director Engineering, Head of Internal Technology
4384547155 | GE HealthCare | Sr Director Software Engineering
4384641534 | GitHub | Staff Engineering Manager, Notifications Platform
4384716437 | Palo Alto Networks | Manager, Software Engineering
4384730382 | Netflix | Data Science & Engineering Manager - Title & Launch Management
4384831016 | Amazon Web Services (AWS) | Software Dev Manager III, AWS Clean Rooms
4384753491 | Airbnb | Engineering Manager, Workflow Orchestration - Data Infrastructure
4384834304 | Microsoft | Group Engineering Manager
4384922395 | Apple | Senior Engineering Manager, Core Services - Apple Services Engineering
4385065036 | Workday | Senior Manager, Machine Learning Engineering
4385177910 | Snowflake | Senior Manager, Solution Engineering
4385613176 | Apple | Software Manager, Siri Communications Experiences
4385615140 | Apple | Senior Engineering Manager - Data Lakehouse
4385813671 | NVIDIA | Senior Manager, Technical Product and Program Management, Planning and Controls - Autonomous Vehicles
4386469659 | GitHub | Principal Engineering Manager
4386502880 | Instacart | Software Engineering Manager, Single Retailer Experience
4386508711 | Instacart | Software Engineering Manager, Ads Manager
4386525989 | ServiceTitan | Director, AI Engineering
4386527028 | Instacart | Senior Software Engineering Manager, Ads Solutions
4386779777 | Amazon Web Services (AWS) | Senior Manager, Software Dev, Amazon Software Builder Experience / Software Foundations & Management
4386911022 | Microsoft | Principal Software Engineering Manager
4387448843 | LinkedIn | Director, Software Engineering, Systems Infrastructure
4345164724 | Snap | Manager, Machine Learning Engineering, User & Friends
4345532025 | Snap | Manager, Machine Learning Engineering, User & Friends
4356711778 | Upstart | Senior Manager, Software Engineering - Core Pricing
4367005063 | Affirm | Senior Manager, Software Engineering (Lake Analytics Platform)
7673572 | Roblox | Senior Engineering Manager, AI Platform
4387778885 | Apple | Senior Security Engineering Manager
4386822053 | Apple | Engineering Manager, User & Content Intelligence
790312856978 | Netflix | Senior Engineering Manager, Model Inference Serving - AI Platform
7823561002 | Databricks | Sr. Staff Software Engineer - Data Platform
4387906901 | NVIDIA | Senior Director, EDA Engineering
4271754758 | Sony Interactive Entertainment | Sr. Director, Data Platform Engineering & Operations
4377474545 | Talkiatry | Director of AI Engineering
4385283041 | Mattson Technology | Senior Director of Software Engineering
4387820815 | Shutterfly | Senior Director, Engineering - AI, Photos and Personalization
4385746513 | Ladders | Director, Engineering
4387606267 | LinkedIn | Software Engineering Manager, Systems and Infrastructure
4387998550 | Plaid | Engineering Manager - Machine Learning Infrastructure
4387999529 | Plaid | Engineering Manager - Machine Learning Infrastructure
4378060703 | LinkedIn | Director, Software Engineering - Ads AI
Senior-Software-Engineer-AI-Infrastructure | NVIDIA | Senior Software Engineer, AI Infrastructure
4377426395 | NVIDIA | Manager, Next-Gen AI Cluster Validation
4385470796 | Netflix | Engineering Manager, Compute Runtime
4357509254 | Netflix | Manager, Data Engineering – Commerce
engineering-manager-ai-platform | Snowflake | Engineering Manager, AI Platform
engineering-manager-machine-learning-platform | Airbnb | Engineering Manager, Machine Learning Platform
https://jobs.elastic.co/?size=n_5_n | Elastic | (careers page)
4388538879 | Instacart | Director of Software Engineering, Order Experience
4387871310 | Airbnb | Engineering Manager, Guest Displays and Platforms
4335116861 | Snowflake | Senior Engineering Manager - Observability
7342078 | Reddit | Staff Software Engineer - Continuous Integration, Developer Experience
7359367 | Reddit | Senior Engineering Manager, Unified Embeddings Platform
staff-engineer-search-ai-platform | Elastic | Staff Engineer, Search AI Platform
engineering-manager-platform-inference | Mistral AI | Engineering Manager, Platform Inference
staff-software-engineer-platform | Replicate | Staff Software Engineer, Platform
4385762689 | Oracle | Snr Manager, Software Engineering, Cloud Performance
4388526718 | Visa | Director, Software Engineering
4388518253 | HubSpot | Senior Engineering Manager
senior-software-engineer-autonomy-platform | Skydio | Senior Software Engineer, Autonomy Platform
engineering-manager-core-platform | Tailscale | Engineering Manager, Core Platform
engineering-manager-cloud-platform | Modal | Engineering Manager, Cloud Platform
engineering-manager-edge-platform | Fly.io | Engineering Manager, Edge Platform
engineering-manager-platform-infrastructure | Samsara | Engineering Manager, Platform Infrastructure
https://sourcegraph.com/careers/staff-software-engineer-ai-platform | Sourcegraph | Staff Software Engineer, AI Platform
https://jobs.lever.co/anduril/senior-software-engineer-robotics-platform | Anduril | Senior Software Engineer, Robotics Platform
https://jobs.ashbyhq.com/brinc/5f561411-9ee8-446f-8e1e-770cdd13db13 | BRINC | Director of Software Engineering, Web Platform
4388125022 | Revenium | Head of Engineering
4388151921 | Amazon Web Services (AWS) | Software Development Manager, AWS SageMaker Unified Studio
4378698410 | Amazon | SDM GenAI Products, Amazon Manager eXperience Central Science & Engineering
4388246218 | Airbnb | Engineering Manager, Data Movement & Transformation
4378677821 | Nike | Director, Software Engineering (Remote Work Option)
4385067220 | Asana | Senior Engineering Manager, Security
4387618181 | LinkedIn | Manager, Software Engineering - Personalization Platform
4353490588 | Snyk | Senior Director, Engineering
https://jobs.ashbyhq.com/1password/eef5c8da-33b5-4120-943e-cbdf7f08fa42 | 1Password | Engineering Manager, API Platform
4387630784 | Deloitte | Engineering Manager - PxE Platforms
4369877586 | Roblox | Director of Engineering - AI for Roblox Studio
4353450753 | Databricks | Sr. Manager, Observability Platform Engineering
4389031548 | NVIDIA | Director of Software Engineering, Networking
4376227213 | AMD | Sr. Manager Software Development
4387101317 | ByteDance | Tech Lead Manager, Global Traffic Infrastructure
4340500929 | Woven by Toyota | Software Engineering Manager, Infrastructure Engineering
4384458688 | Walmart | Senior Director, Software Engineering
4389944134 | Snowflake | Senior Director of Engineering, Traffic and Networking
4389939275 | Snowflake | Senior Director of Engineering, Traffic and Networking
4377768260 | Visa | Director Software Engineering
4388888226 | Netflix | Engineering Manager, Cloud Network Engineering
4389984917 | NVIDIA | Senior Software Manager, AI Networking
4389285960 | Amazon Web Services (AWS) | Software Engineering Manager, AWS CloudFormation
4389027748 | NVIDIA | Manager, Compiler Engineering
4389921483 | Airbnb | Engineering Manager, Investigations and Incident Response
4387534642 | Airbnb | Engineering Manager, User Foundation (Users, Identity & Community)
4389407140 | Salesforce | Senior Manager of Engineering - GovCloud
4387512638 | Blue Origin | Sr. Manager - Software Engineering
4390618635 | GitLab | Senior Engineering Manager, Design
4389271513 | Roku | Director, Productivity Engineering
4389968893 | Uber | Engineering Manager II, Eater Messaging, Core Consumer
4343559650 | Adobe | Sr Engineering Manager, AI Platform
7736943 | Stripe | Engineering Manager, Developer Productivity AI
7286376 | Stripe | AI/ML Engineering Manager, Payment Intelligence
Engineering-Manager-Feature-Store | Snowflake | Engineering Manager, Feature Store
4387542542 | Upstart | Senior Engineering Manager, Distribution Platform
4384792294 | Upstart | Senior Engineering Manager, Offer Delivery
4369946368 | Elastic | Senior Engineering Manager - Search Scaling - Elasticsearch
4391797913 | Stripe | Engineering Manager, Connect
4387566011 | CrowdStrike | Manager, Engineering – macOS Sensor
4389991558 | NVIDIA | Developer Relations Manager, Cloud Service Provider
4297737975 | Databricks | Engineering Manager - UI Platform
4388593100 | Nutanix | Senior Director, Worldwide Systems Engineering - Global Accounts
4387176661 | The Home Depot | Manager, AI Platform Engineering (Remote)
4389264162 | LinkedIn | Director, Software Engineering - Ads AI
4353950003 | Asana | Engineering Manager, Track Anything
4353990000 | Asana | Engineering Manager, Reference Anything
4385782865 | ClickUp | Engineering Manager
4369952153 | Pinterest | Sr. Engineering Manager, AI/ML Serving Platform
4389893875 | RemoteHunter | Sr. Director Engineering, Head of Internal Technology
4387530888 | Mechanical Orchard | Director of Engineering, Product Infrastructure and Release Engineering
4361492777 | Headspace | VP of Engineering, B2B Platforms
4388654195 | Haystack | Software Development Manager
4388524647 | PwC | AI-Native Senior Engineering Manager, Full Stack
4387869066 | People In AI | Director of AI
4387775004 | Savvly | Senior Director of Software Engineering
4390038657 | Ladders | Senior Director of Engineering
4390035775 | Ladders | Sr Director, Developer Experience and Platform Engineering
4387507349 | Ladders | Engineering Manager, Trusted Products
4385747540 | Ladders | Senior Manager, Software Engineering
4385738798 | Ladders | Senior Principal/Senior Director - Software Delivery/Software Program Management
4385756227 | Ladders | Director, Software Engineering (Life Product)
4389770730 | Plaid | Experienced Engineering Manager, Network Enablement and Access (NEA)
4649097006 | Chainguard | Manager, Software Engineering (Libraries)
4357891376 | Oracle | Senior Software Development Manager
4361079477 | Oracle | Software Development Manager
4369614759 | Sony | Director, Engineering
4371571533 | Apple | Manager, Central Quality Accessibility Engineering - Apple Services Engineering
4372039259 | Apple | Senior Engineering Manager — Product Marketing Finance
4374500932 | Cloudflare | Engineering Manager, Cloudflare Hyperdrive
4374620119 | Visa | Director, Software Engineering
4374867969 | Oracle | Software Development Director
4375894804 | Lantern | Director, AI Engineering
4376014615 | Apple | Hardware Technology Platform Integration Engineering Program Manager
4376077016 | Google | Software Engineering Manager II, Infrastructure, Google Cloud
4376720980 | Google | Senior Software Engineering Manager, Emerging On-prem AI Infrastructure
4376847148 | LinkedIn | Manager, Software Engineering
4378216240 | Apple | Software Engineering Manager, HomeKit
4385295166 | Aritzia | Technology - Senior Engineering Manager/Engineering Manager
4391564666 | Microsoft | Principal Software Engineer Manager
4391571555 | Microsoft | Senior Principal Engineering Manager
4325309022 | Shopify | Engineering Manager (Americas)
4379027824 | Capital One | Director, Software Engineering - Shopping
4365577380 | Google | Software Engineering Manager, Workforce Identity
4384256294 | Google | Senior Software Engineering Manager, Natural Language for Databases
4386542845 | CPG | Director of Engineering
4363118731 | Blue Origin | Senior Manager - Software Engineering - TeraWave
4375560969 | Headway | Engineering Manager - Provider Growth
4391211424 | AAA Washington | Senior Manager, Product Engineering
4391588073 | Collins Aerospace | Senior Engineering Manager - FlightAware (Remote)
4341185629 | Adobe | Sr. Director of Engineering - Mixed Media Authoring
4365218846 | Alma | Senior Director, Engineering Operations & Platform
4371308885 | Docusign | Sr. Director, SRE Platform Engineering
4381184162 | ServiceTitan | Senior Manager, Software Engineering
4378991010 | PayPal | Sr. Director, Developer Platforms
4381114694 | F5 | Sr DevOps Manager
4391190684 | 1Password | Engineering Manager, Authentication Experience
4389520974 | Expedia Group | Senior Director, Software Development Engineering
4359031709 | Whatnot | Engineering Manager, Mobile
4359041119 | Whatnot | Engineering Manager, Mobile
4361328138 | Ford Motor Company | Software Engineering Manager, Mobile
4368350629 | Red Ventures | Director of Engineering, AI Engineering
4368794128 | Roblox | Sr Manager of Engineering, Sharing
4369237481 | Tubi | Director, ML Engineering & Infrastructure
4369283371 | LangChain | Director, Deployed Engineering - Central
4369289297 | LangChain | Director, Deployed Engineering - Central
4374842742 | CoinTracker | Engineering Manager, Infrastructure & Platform
4376958727 | Nava | Senior Platform/Infrastructure Engineering Manager
4377423475 | NVIDIA | Senior Manager, Software Security Architecture
4377572973 | Ford Motor Company | Director, Private Cloud Platform Engineering
4378019024 | Vercel | Sr. Engineering Manager, Platform
4378325779 | Deloitte | Engineering Manager - Product Engineering A&A
4379292084 | Microsoft | Principal Supercomputing Operations Engineering Manager
4383372819 | Super.com | Director of Engineering, Core Experience
4384098700 | Fanatics | Sr Engineering Manager - Fanatics Markets
4384490468 | Nielsen | Director, IT Infrastructure Engineering
4384727792 | Weave | Senior Director of Engineering
4385029531 | Ladders | Senior Manager, Software Engineering (USA Remote)
4385038176 | Ladders | Director, Global Software
4385086875 | EY | AI & Machine Learning Engineering Consultant - Manager - Consulting - Location OPEN
4385751985 | Walmart | Group Director, Software Engineering
4385758701 | LogicGate | Manager, Software Engineering
4385773001 | Talkiatry | Senior Manager of AI Engineering
4385960051 | Starbucks | engineering manager, iOt- Seattle, WA
4386365703 | WEX | Sr Director of Engineering, Mobilitiy
4386377696 | NEO Energy | Vice President of Engineering
4386794338 | Marriott International | Director, Engineering
4386958810 | Toast | Manager II, Software Engineering
4387179354 | The Walt Disney Company | Senior Manager, Software Engineering
4387455931 | Confluent | Director II, Engineering
4387482469 | GE Appliances, a Haier company | Senior Director, Cloud Software Engineering
4387604821 | Sully.ai | Head of Engineering, Platform
4387790091 | Honor | Engineering Manager
4387934728 | Rippling | Senior Engineering Manager - Payroll Platform
4387991256 | Switchfly | Director of Engineering
4387996488 | GoGuardian | Senior Manager, Engineering
4388200739 | Deloitte | AI Data Engineer - Manager
4367296182 | HackerOne | Senior Manager, AI Engineering
4384565878 | Ford Motor Company | Sr Director, Developer Experience and Platform Engineering
4385589341 | Ford Motor Company | Director, Software Architecture
4385832765 | JPMorganChase | Senior Director of Software Engineering - Head of Operations - Surveillance Technology
4312219056 | eBay | Director of Engineering
4390743386 | Red Oak Technologies | Sr. Manager, Applied AI Engineering
4370847469 | You.com | Director of Engineering, Platform and DX
4389171402 | EY | AI and Distributed Systems Backend Engineer - Manager - Consulting - Location OPEN
4389884800 | Jobgether | Director of Software Engineering, Order Experience
4389917018 | Maximus | Senior Director – Software Engineering
4390636577 | Ziff Davis Shopping | Director of Engineering
4379183556 | Kaseya | Director, Engineering
4388461587 | Talkiatry | Senior Manager of AI Engineering
4389782347 | LinkedIn | Director, Software Engineering, Systems Infrastructure
4389790116 | Rippling | Senior Engineering Manager, AI Developer Experience
4389936630 | Marqeta | Manager, Software Engineering - Data Infrastructure
4389950971 | Marriott International | Director, AI Engineering (Tip.AI)
4387500946 | Ladders | Senior Director, Engineering
4387511575 | Splitero | Director of Engineering
4389215368 | dynamism | Head of Engineering
4389267627 | Curinos | Head, AI Platform Engineering
4389443569 | LinkedIn | Software Engineering Manager, Systems and Infrastructure - Data Catalog
4281959101 | Fleetio | Engineering Manager, Platform
4310153867 | Rippling | Director of Engineering - Platform
4361085152 | PitchBook | Engineering Manager, AI Enablement
4388664221 | Valor Front | Director of Engineering
4332542040 | AKASA | Sr. Engineering Manager, Machine Learning
4392086418 | Disney Experiences | Manager - Software Engineering
4362171369 | Expedia Group | Distinguished Software Development Engineer
4371423521 | JPMorganChase | Sr Director of Software Engineering- Capital Technology
4371650923 | Nordstrom | Senior Engineering Manager, Cloud Engineering - Hybrid - Seattle
4381171189 | Aledade, Inc. | Senior Engineering Manager- AI Data Platform
4381179401 | Fivetran | Senior Director, Lead Software Engineering
4390492646 | Cognizant | AI Customer Engineering Lead
4392769826 | WD | Engineering Director, Agentic AI Delivery
4381095588 | Lenovo | Senior Manager AI Reliability Engineering
4392763671 | Netflix | Engineering Manager - Member Experience Client Foundations
4379898411 | Oracle | Senior Director, Software Development
4337325201 | PayPal | Senior Director Engineering, Growth – PayPal Consumer App
4363150925 | Robinhood | Engineering Manager, Capacity and Efficiency
4379609522 | Roblox | Senior Engineering Manager, AI Platform
4390274824 | GitHub | Principal Engineering Manager, Data Architecture
4390684451 | CoderPad | Director of Engineering
4389983662 | Zillow | Senior Manager, Site Reliability Engineering, Follow Up Boss
4379149165 | Yahoo | Sr. Engineering Manager
